TIPO,ID,NOMBRE,DENOMINACION,ENTIDADES_RELACIONADAS
Control,63,Banco Central de la República Argentina (BCRA),"","64,76"
Prestador,64,Banco Santander Río, "","65,66,67"
Entidad,65,Banco Santander Río Buenos Aires,Entidad Bancaria,"68,69,70,71"
Entidad,66,Banco Santander Río Rosario,Entidad Bancaria,"72,73"
Entidad,67,Banco Santander Río Córdoba,Entidad Bancaria,"74,75"
Establecimiento,68,Sucursal Adrogué,Sucursal Bancaria,""
Establecimiento,69,Sucursal Lomas de Zamora,Sucursal Bancaria,""
Establecimiento,70,Sucursal Palermo,Sucursal Bancaria,""
Establecimiento,71,Sucursal Centro,Sucursal Bancaria,""
Establecimiento,72,Sucursal Azcuenaga,Sucursal Bancaria,""
Establecimiento,73,Sucursal Abasto,Sucursal Bancaria,""
Establecimiento,74,Sucursal Colón,Sucursal Bancaria,""
Establecimiento,75,Sucursal Jardín,Sucursal Bancaria,""
Prestador,76,Banco Nación, "","77,78,79"
Entidad,77,Banco Nación Buenos Aires,Entidad Bancaria,"80,81,82,83"
Entidad,78,Banco Nación Chubut,Entidad Bancaria,"84,85"
Entidad,79,Banco Nación Misiones,Entidad Bancaria,"86,87"
Establecimiento,80,Sucursal Banfield,Sucursal Bancaria,""
Establecimiento,81,Sucursal Central,Sucursal Bancaria,""
Establecimiento,82,Sucursal Belgrano,Sucursal Bancaria,""
Establecimiento,83,Sucursal Villa Urquiza,Sucursal Bancaria,""
Establecimiento,84,Sucursal Madryn,Sucursal Bancaria,""
Establecimiento,85,Sucursal Esquel,Sucursal Bancaria,""
Establecimiento,86,Sucursal Alta Gracia,Sucursal Bancaria,""
Establecimiento,87,Sucursal 25 de Mayo,Sucursal Bancaria,""
